N,set_cardinality,add_ds_card,mult_ds_card,count
50,8,31,21,1
50,8,31,23,3
50,8,31,24,6
50,8,31,25,13
50,8,31,26,330
50,8,31,27,448
50,8,31,28,1549
50,8,31,29,2550
50,8,31,30,34283
50,8,31,31,41427
50,8,31,32,113400
50,8,31,33,1044875
50,8,31,34,1366373
50,8,31,35,13699604
50,8,31,36,49228590
50,8,32,22,2
50,8,32,23,5
50,8,32,24,4
50,8,32,25,7
50,8,32,26,381
50,8,32,27,374
50,8,32,28,1185
50,8,32,29,2214
50,8,32,30,39837
50,8,32,31,39723
50,8,32,32,120331
50,8,32,33,1240210
50,8,32,34,1578854
50,8,32,35,16396635
50,8,32,36,57206203
50,8,33,23,4
50,8,33,24,1
50,8,33,25,4
50,8,33,26,299
50,8,33,27,300
50,8,33,28,714
50,8,33,29,1421
50,8,33,30,33333
50,8,33,31,28774
50,8,33,32,83864
50,8,33,33,994298
50,8,33,34,1193808
50,8,33,35,12903284
50,8,33,36,43645787
50,8,34,21,1
50,8,34,22,1
50,8,34,24,1
50,8,34,25,3
50,8,34,26,273
50,8,34,27,151
50,8,34,28,394
50,8,34,29,597
50,8,34,30,20001
50,8,34,31,12633
50,8,34,32,35458
50,8,34,33,479805
50,8,34,34,515834
50,8,34,35,5829696
50,8,34,36,19012028
50,8,35,25,1
50,8,35,26,63
50,8,35,27,22
50,8,35,28,62
50,8,35,29,82
50,8,35,30,3670
50,8,35,31,2044
50,8,35,32,5015
50,8,35,33,74847
50,8,35,34,74290
50,8,35,35,860550
50,8,35,36,2714912
50,8,36,26,11
50,8,36,27,1
50,8,36,28,1
50,8,36,29,1
50,8,36,30,138
50,8,36,31,55
50,8,36,32,142
50,8,36,33,2325
50,8,36,34,2200
50,8,36,35,24867
50,8,36,36,75191
51,8,15,30,3
51,8,15,31,4
51,8,15,32,4
51,8,15,33,1
51,8,15,34,8
51,8,15,35,14
51,8,15,36,110
51,8,16,30,6
51,8,16,31,4
51,8,16,32,4
51,8,16,33,7
51,8,16,34,6
51,8,16,35,37
51,8,16,36,183
51,8,17,26,2
51,8,17,27,4
51,8,17,28,4
51,8,17,30,5
51,8,17,31,15
51,8,17,32,13
51,8,17,33,39
51,8,17,34,59
51,8,17,35,189
51,8,17,36,825
51,8,18,26,3
51,8,18,27,5
51,8,18,28,3
51,8,18,30,16
51,8,18,31,30
51,8,18,32,15
51,8,18,33,84
51,8,18,34,75
51,8,18,35,406
51,8,18,36,1567
51,8,19,26,3
51,8,19,27,7
51,8,19,28,3
51,8,19,29,8
51,8,19,30,36
51,8,19,31,46
51,8,19,32,63
51,8,19,33,192
51,8,19,34,235
51,8,19,35,1114
51,8,19,36,3848
51,8,20,22,1
51,8,20,26,2
51,8,20,27,7
51,8,20,28,10
51,8,20,29,9
51,8,20,30,80
51,8,20,31,86
51,8,20,32,101
51,8,20,33,397
51,8,20,34,427
51,8,20,35,2072
51,8,20,36,7499
51,8,21,26,10
51,8,21,27,15
51,8,21,28,16
51,8,21,29,18
51,8,21,30,137
51,8,21,31,192
51,8,21,32,422
51,8,21,33,1451
51,8,21,34,1521
51,8,21,35,9532
51,8,21,36,33264
51,8,22,26,13
51,8,22,27,37
51,8,22,28,53
51,8,22,29,40
51,8,22,30,287
51,8,22,31,280
51,8,22,32,576
51,8,22,33,2392
51,8,22,34,2279
51,8,22,35,14985
51,8,22,36,54364
51,8,23,22,3
51,8,23,26,10
51,8,23,27,34
51,8,23,28,97
51,8,23,29,138
51,8,23,30,657
51,8,23,31,806
51,8,23,32,1407
51,8,23,33,6708
51,8,23,34,7248
51,8,23,35,57010
51,8,23,36,202622
51,8,24,23,2
51,8,24,24,2
51,8,24,26,21
51,8,24,27,61
51,8,24,28,132
51,8,24,29,161
51,8,24,30,1105
51,8,24,31,1425
51,8,24,32,2450
51,8,24,33,12751
51,8,24,34,13649
51,8,24,35,103533
51,8,24,36,375527
51,8,25,21,1
51,8,25,22,2
51,8,25,23,3
51,8,25,25,2
51,8,25,26,35
51,8,25,27,158
51,8,25,28,252
51,8,25,29,256
51,8,25,30,1877
51,8,25,31,2501
51,8,25,32,5104
51,8,25,33,28369
51,8,25,34,28692
51,8,25,35,234641
51,8,25,36,864982
51,8,26,22,1
51,8,26,23,10
51,8,26,24,6
51,8,26,25,6
51,8,26,26,73
51,8,26,27,248
51,8,26,28,345
51,8,26,29,522
51,8,26,30,3898
51,8,26,31,4552
51,8,26,32,10766
51,8,26,33,65939
51,8,26,34,74919
51,8,26,35,661369
51,8,26,36,2440682
51,8,27,23,9
51,8,27,24,8
51,8,27,25,10
